,id,theme,name,year of release,# of pieces,# of minifigures,Secondary market prices of new sets in 2015,Secondary market prices of used sets in 2015,Primary market price at release,age,Size group (1 - Biggest; 4 - Smallest),Profit Margin,Full Retirement Date,Years Since Retirement,Yearly Average Returns
58,10198,Star Wars,Tantive IV,2009,1408,5.0,255.37,179.33,149.99,6,1,1.7025801720114673,2012-01-06T00:00:00Z,3.989041095890411,1.142708928065334
59,10199,Seasonal,Winter Toy Shop,2009,815,7.0,230.52,171.59,59.99,6,2,3.8426404400733456,2011-11-28T00:00:00Z,4.095890410958904,1.3891069724958285
60,10200,Factory,Custom Car Garage,2008,893,4.0,84.87,58.73,69.99,7,2,1.2126018002571797,2009-03-02T00:00:00Z,6.838356164383562,1.028590351957743
61,10201,Bionicle,Takutanuva,2003,399,0.0,152.73,102.09,49.99,12,3,3.0552110422084415,,,
62,10202,Bionicle,Ultimate Dume,2004,564,0.0,114.73,61.53,49.99,11,3,2.2950590118023606,,,
63,10203,Bionicle,Voporak,2005,647,0.0,81.54,40.6,49.99,10,3,1.6311262252450491,,,
64,10204,Bionicle,Vezon & Kardas,2006,670,0.0,278.5,145.8,49.99,9,2,5.571114222844568,,,
65,10205,Trains,"“Large Train Engine with Tender,Black”",2002,232,0.0,310.0,108.93,0.0,13,4,,,,
66,10210,Pirates,Imperial Flagship,2010,1664,9.0,522.5,400.67,179.99,5,1,2.902939052169565,2011-12-20T00:00:00Z,4.035616438356165,1.302231757947185
67,10211,Advanced models,Grand Emporium,2010,2182,7.0,229.74,183.2,149.99,5,1,1.5317021134742317,2014-10-05T00:00:00Z,1.2410958904109588,
68,10212,Star Wars,Imperial Shuttle,2010,2503,5.0,453.96,333.53,259.99,5,1,1.7460671564290933,2012-12-20T00:00:00Z,3.032876712328767,1.2017450044682931
69,10213,Advanced models,Shuttle Adventure,2010,1204,3.0,229.54,143.13,99.99,5,1,2.2956295629562957,2011-04-28T00:00:00Z,4.682191780821918,1.1942071648393904
70,10214,Advanced models,Tower Bridge,2010,4287,0.0,244.49,187.24,239.99,5,1,1.0187507812825534,2019-09-29T00:00:00Z,-3.745205479452055,
71,10215,Star Wars,Obi-Wan’s Jedi Starfighter,2010,676,4.0,113.32,77.33,99.99,5,2,1.1333133313331334,2012-03-16T00:00:00Z,3.797260273972603,1.033505876282288
72,10216,Seasonal,Winter Village Bakery,2010,687,7.0,161.43,128.2,54.99,5,2,2.9356246590289143,2012-12-02T00:00:00Z,3.0821917808219177,1.418217492348561
73,10217,Harry Potter,Diagon Alley,2011,2025,12.0,314.76,242.16,149.99,4,1,2.098539902660177,2013-01-04T00:00:00Z,2.9917808219178084,1.2811516487758872
74,10218,Advanced models,Pet Shop,2011,2032,4.0,168.53,132.71,149.99,4,1,1.12360824054937,2016-11-26T00:00:00Z,-0.9041095890410958,
75,10219,Trains,Maersk Train,2011,1237,3.0,274.44,208.27,119.9,4,1,2.2889074228523767,2012-11-17T00:00:00Z,3.1232876712328768,1.303599320715279
76,10220,Advanced models,Volkswagen T1 Camper Van,2011,1332,0.0,125.01,88.53,119.99,4,1,1.041836819734978,2020-11-28T00:00:00Z,-4.912328767123288,
77,10221,Star Wars,Super Star Destroyer,2011,3152,5.0,648.3,511.73,399.99,4,1,1.620790519762994,2014-06-03T00:00:00Z,1.5808219178082192,
78,10222,Seasonal,Winter Village Post Office,2011,822,7.0,215.68,158.87,69.99,4,2,3.0815830832976143,2012-12-09T00:00:00Z,3.063013698630137,1.4440188691309457
79,10223,Castle,Kingdoms Joust,2012,1575,9.0,127.03,94.53,119.99,3,1,1.058671555962997,2014-12-09T00:00:00Z,1.063013698630137,
80,10224,Advanced models,Town Hall,2012,2766,8.0,323.59,205.0,199.99,3,1,1.6180309015450771,2014-10-04T00:00:00Z,1.2438356164383562,
81,10225,Star Wars,R2-D2,2012,2127,1.0,254.4,179.73,179.99,3,1,1.4134118562142342,2014-11-08T00:00:00Z,1.1479452054794521,
82,10226,Advanced models,Sopwith Camel,2012,883,0.0,164.78,70.4,99.99,3,2,1.647964796479648,2014-10-03T00:00:00Z,1.2465753424657535,
83,10227,Star Wars,В-Wing Starfighter,2012,1487,0.0,209.3,155.13,199.99,3,1,1.0465523276163808,2013-11-05T00:00:00Z,2.1561643835616437,1.021327113691485
84,10228,Monster fighters,Haunted House,2012,2064,6.0,304.13,235.07,179.99,3,1,1.6897049836102005,2015-01-02T00:00:00Z,0.9972602739726028,
85,10229,Seasonal,Winter Village Cottage,2012,1490,8.0,191.53,148.67,99.99,3,1,1.9154915491549156,2013-12-14T00:00:00Z,2.0493150684931507,1.3732313202925663
86,10230,Advanced models,Mini Modulars,2012,1356,0.0,143.81,105.27,79.99,3,1,1.7978497312164021,2013-12-13T00:00:00Z,2.052054794520548,1.3309002610110852
